data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
manifold,1000,10,8,3,3004,1,8,1000,0,0.7604858375543472,0.7846833144776626,0.8421374811841444,0.9167506271951832,0.6739997564437026,3.5204503162807703,manifold_N1000_D10_p8
manifold,1000,10,8,3,3005,1,8,1000,0,0.7552472245828252,0.7796624455970058,0.8455715002508781,0.9033065730055193,0.6548536575726823,3.4964755815789346,manifold_N1000_D10_p8
manifold,1000,10,8,3,3006,1,8,1000,0,0.7706625377479723,0.7917069164935295,0.8533908680381335,0.9213542398394381,0.6674276443881311,3.496649763271078,manifold_N1000_D10_p8
manifold,1000,10,8,3,3007,1,8,1000,0,0.7651114967107002,0.7884699054573167,0.8285403913697943,0.9085925740090316,0.6698475550491075,3.520959951786549,manifold_N1000_D10_p8
manifold,1000,10,8,3,3008,1,8,1000,0,0.7648865152936437,0.7904872303129292,0.8475649774209735,0.9075584545910688,0.6712591270936231,3.4978605787848593,manifold_N1000_D10_p8
manifold,1000,10,8,3,3009,1,8,1000,0,0.7613090749371878,0.7851350441372507,0.8564184646261916,0.9167134972403412,0.660305234624787,3.4500418933849013,manifold_N1000_D10_p8
manifold,1000,100,8,4,4000,1,8,1000,0,0.6908905340381414,0.7098539901680367,0.7935679879578525,0.8981981936778726,0.4322751003653227,15.814004233091447,manifold_N1000_D100_p8
manifold,1000,100,8,4,4001,1,8,1000,0,0.6603004579981174,0.6866752037369773,0.7930697441043653,0.8942940291018565,0.41631782467710055,15.815446862705398,manifold_N1000_D100_p8
manifold,1000,100,8,4,4002,1,8,1000,0,0.667462643669695,0.6927329887999998,0.7992012042147516,0.8975313597591571,0.44453935765347746,15.74763408758272,manifold_N1000_D100_p8
manifold,1000,100,8,4,4003,1,8,1000,0,0.6711338378954597,0.6955310594816086,0.7990446562970397,0.8931856497742098,0.42549045774720473,15.75114702419412,manifold_N1000_D100_p8
manifold,1000,100,8,4,4004,1,8,1000,0,0.6454426085466576,0.6725631456486587,0.7937812343201205,0.8944826894129453,0.4156069361752927,15.699652071934786,manifold_N1000_D100_p8
manifold,1000,100,8,4,4005,1,8,1000,0,0.6644823203962719,0.6872588034483068,0.7974967385850477,0.8941630707476167,0.43790366367147154,15.833000109170323,manifold_N1000_D100_p8
manifold,1000,100,8,4,4006,1,8,1000,0,0.6560258076172972,0.6786269819674428,0.7945148018063222,0.8840717511289513,0.4052687520597264,15.766739917302447,manifold_N1000_D100_p8
manifold,1000,100,8,4,4007,1,8,1000,0,0.6841482019131906,0.7046276191779202,0.8039317611640743,0.8963642749623683,0.3947683208223662,15.703688700777743,manifold_N1000_D100_p8
manifold,1000,100,8,4,4008,1,8,1000,0,0.6583515978432536,0.6858876771019284,0.8036126442548921,0.8989367787255393,0.4077401969034333,15.613447214485134,manifold_N1000_D100_p8
manifold,1000,100,8,4,4009,1,8,1000,0,0.6309001404919552,0.6525661112333729,0.7940416457601606,0.8893000501756146,0.41918064796395355,15.808045352877942,manifold_N1000_D100_p8
manifold,1000,784,8,5,5000,1,8,1000,0,0.6412889055361826,0.6620814481392807,0.7989377822378324,0.88058705469142,0.3992046234807175,45.040930277329636,manifold_N1000_D784_p8
manifold,1000,784,8,5,5001,1,8,1000,0,0.6518940929724543,0.6716843533548835,0.807312092323131,0.8960963371801305,0.38501211349038805,44.950504603336505,manifold_N1000_D784_p8
manifold,1000,784,8,5,5002,1,8,1000,0,0.6326063609229302,0.6518545807089068,0.8037305569493226,0.885158554942298,0.3978817189389211,44.481794408814054,manifold_N1000_D784_p8
manifold,1000,784,8,5,5003,1,8,1000,0,0.6594094516440457,0.6749963023780662,0.7921796287004516,0.8917104867034621,0.3999937370143254,44.97816958006391,manifold_N1000_D784_p8
manifold,1000,784,8,5,5004,1,8,1000,0,0.6121639384181474,0.6356504269817372,0.8105910687405921,0.8984937280481686,0.37488263181855963,44.752735469779005,manifold_N1000_D784_p8
manifold,1000,784,8,5,5005,1,8,1000,0,0.6427057738654688,0.6636323062243875,0.8092047165077773,0.8864801806322128,0.3754753908148512,44.916889933811326,manifold_N1000_D784_p8
manifold,1000,784,8,5,5006,1,8,1000,0,0.6413082468146505,0.6571909064912422,0.8077461113898645,0.8866487706974411,0.39074365719586795,44.6867651363374,manifold_N1000_D784_p8
manifold,1000,784,8,5,5007,1,8,1000,0,0.6369949518650697,0.6521337032329854,0.8001630707476166,0.8768479678876067,0.3982877736051176,44.53812932612094,manifold_N1000_D784_p8
manifold,1000,784,8,5,5008,1,8,1000,0,0.6336792963994536,0.6524616128277204,0.7949729051680883,0.8885368790767687,0.36901523930463853,44.64453183725293,manifold_N1000_D784_p8
manifold,1000,784,8,5,5009,1,8,1000,0,0.6107984735380804,0.6328803154689816,0.8055333667837431,0.8888575012543903,0.38615572140393256,44.54312624147001,manifold_N1000_D784_p8
manifold,1000,10,10,6,6000,1,10,1000,0,0.752732507034349,0.7709671290550633,0.8493035624686402,0.9121108881083794,0.5981885728789837,4.272274997511111,manifold_N1000_D10_p10
manifold,1000,10,10,6,6001,1,10,1000,0,0.7427002387903602,0.7647708135183189,0.8516788760662318,0.9244470647265429,0.6397565130727801,4.253376629062876,manifold_N1000_D10_p10
manifold,1000,10,10,6,6002,1,10,1000,0,0.7409189431285091,0.7632269353359618,0.844093828399398,0.9103833416959358,0.6019150999624148,4.265000421226128,manifold_N1000_D10_p10
manifold,1000,10,10,6,6003,1,10,1000,0,0.7374940385299564,0.7626000480552813,0.8492895132965379,0.91551078775715,0.6251815979285021,4.275984280189532,manifold_N1000_D10_p10
manifold,1000,10,10,6,6004,1,10,1000,0,0.751517937598323,0.7746506941125539,0.8398906171600602,0.9151986954340191,0.6049377048925811,4.310731572765395,manifold_N1000_D10_p10
manifold,1000,10,10,6,6005,1,10,1000,0,0.7544902133218869,0.7763832542820299,0.8448595082789765,0.914805318615153,0.6104325050582775,4.2968789813834585,manifold_N1000_D10_p10
manifold,1000,10,10,6,6006,1,10,1000,0,0.7397702786816556,0.7597012100990818,0.8503978926241846,0.9249076768690416,0.6178212947197739,4.272118736402444,manifold_N1000_D10_p10
manifold,1000,10,10,6,6007,1,10,1000,0,0.7491995834829427,0.7704982822005417,0.8479558454591068,0.926861013547416,0.6090185830764233,4.259461688927868,manifold_N1000_D10_p10
manifold,1000,10,10,6,6008,1,10,1000,0,0.7213934461696097,0.7405228977732653,0.848176116407426,0.9025183140993477,0.597605941858278,4.2802038594926755,manifold_N1000_D10_p10
manifold,1000,10,10,6,6009,1,10,1000,0,0.7153803208272085,0.7381764844332007,0.8519192172604114,0.9182453587556447,0.6135898457855087,4.267825819998274,manifold_N1000_D10_p10
manifold,1000,100,10,7,7000,1,10,1000,0,0.6802893908000736,0.6999123495035544,0.8216216758655294,0.8998524836929253,0.46379006647914356,15.05772630995887,manifold_N1000_D100_p10
manifold,1000,100,10,7,7001,1,10,1000,0,0.6513582889225018,0.6753992681020159,0.8270511791269444,0.907413948820873,0.4850771506114843,15.094952720044002,manifold_N1000_D100_p10
manifold,1000,100,10,7,7002,1,10,1000,0,0.6481448912255883,0.6710055621826114,0.8210898143502258,0.8980180632212744,0.47352714747324187,15.077787918662034,manifold_N1000_D100_p10
manifold,1000,100,10,7,7003,1,10,1000,0,0.6349833664003401,0.6621007361971317,0.8252483692925239,0.9040592072252885,0.4812272405341174,15.065961635100141,manifold_N1000_D100_p10
manifold,1000,100,10,7,7004,1,10,1000,0,0.6752732386571961,0.6949485002914064,0.8326588058203713,0.9026598093326643,0.45895239695680234,14.948364672769873,manifold_N1000_D100_p10
manifold,1000,100,10,7,7005,1,10,1000,0,0.6411504168227049,0.6657745174539402,0.8240040140491721,0.9027240341194179,0.47769865673600304,14.935265651725834,manifold_N1000_D100_p10
manifold,1000,100,10,7,7006,1,10,1000,0,0.6305808119076518,0.6556081820131184,0.828626191670848,0.9000546914199699,0.4737153977179079,15.049792487745867,manifold_N1000_D100_p10
manifold,1000,100,10,7,7007,1,10,1000,0,0.6675823467773202,0.690657228821706,0.8261555444054189,0.9031786251881586,0.4806309087521554,14.928196987914994,manifold_N1000_D100_p10
manifold,1000,100,10,7,7008,1,10,1000,0,0.6480892956163515,0.6730706860346906,0.8314234821876568,0.8999593577521324,0.48325075591821626,15.15295683339682,manifold_N1000_D100_p10
manifold,1000,100,10,7,7009,1,10,1000,0,0.6541087032624361,0.6761158290981558,0.8250712493728048,0.9063928750627195,0.47593870099245134,15.044779504120262,manifold_N1000_D100_p10
manifold,1000,784,10,8,8000,1,10,1000,0,0.6405130224258583,0.6632224122108932,0.8227732062217762,0.9072789764174611,0.42148618921078446,41.992476588381614,manifold_N1000_D784_p10
manifold,1000,784,10,8,8001,1,10,1000,0,0.646077208469968,0.6666788862627396,0.827038133467135,0.9000551931761164,0.3835274027823404,42.016222162821855,manifold_N1000_D784_p10
manifold,1000,784,10,8,8002,1,10,1000,0,0.6558948584433091,0.6781442242140792,0.8262127446061214,0.9040160561966885,0.40684467243255457,41.713637163792086,manifold_N1000_D784_p10
manifold,1000,784,10,8,8003,1,10,1000,0,0.6355927455443144,0.6593653983312506,0.8265584545910687,0.8968123432012042,0.40345225093381076,41.84500100370841,manifold_N1000_D784_p10
manifold,1000,784,10,8,8004,1,10,1000,0,0.6421701932947326,0.6657972199633382,0.8180065228299047,0.9008820873055695,0.38882820359236053,42.12527780588732,manifold_N1000_D784_p10
manifold,1000,784,10,8,8005,1,10,1000,0,0.6466905884845721,0.6695278202403258,0.8266041144004014,0.897899147014551,0.3887357398175085,41.835704031268286,manifold_N1000_D784_p10
manifold,1000,784,10,8,8006,1,10,1000,0,0.6466039132654491,0.6697805908345543,0.8171961866532865,0.9057420973406924,0.4146065423744353,42.07234688882135,manifold_N1000_D784_p10
