data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
mnist,2000,784,40,2,2003,1,40,2000,0,0.7131224436143097,0.7453103581628873,0.9162109437751004,0.9384398092369478,0.29283238499724357,1412.7023817442553,mnist_N2000_D784_p40
mnist,2000,784,40,2,2004,1,40,2000,0,0.7010856055000912,0.7345924727624957,0.9174103413654618,0.9414117469879518,0.28707760080298006,1409.3684543388554,mnist_N2000_D784_p40
mnist,2000,784,40,2,2005,1,40,2000,0,0.6955543932245091,0.7336104805793183,0.9167811746987952,0.9356636044176707,0.29207054088622403,1414.3142167905057,mnist_N2000_D784_p40
mnist,2000,784,40,2,2006,1,40,2000,0,0.7011152902408878,0.7355173671778485,0.9161386546184739,0.9398235943775101,0.29808714678714354,1413.1728083714652,mnist_N2000_D784_p40
mnist,2000,784,40,2,2007,1,40,2000,0,0.7008320309084781,0.734550697961935,0.9126429718875502,0.9386001506024096,0.2940167849771372,1415.3473632984467,mnist_N2000_D784_p40
mnist,2000,784,40,2,2008,1,40,2000,0,0.705547876355114,0.7419946383166827,0.9138099899598393,0.9386336345381526,0.29648129321616773,1411.9255502032786,mnist_N2000_D784_p40
mnist,2000,784,40,2,2009,1,40,2000,0,0.6981828078964788,0.7351600000132523,0.9128045180722891,0.9367943775100401,0.29629748878490564,1412.1715873359942,mnist_N2000_D784_p40
mnist,5000,784,40,3,3000,1,40,5000,0,0.6983884098054427,0.7262388989587718,0.9082810657051282,0.9404560416666666,,1435.268041248996,mnist_N5000_D784_p40
mnist,5000,784,40,3,3001,1,40,5000,0,0.6910414830345158,0.7233585880850694,0.9110751682692307,0.9428974358974359,,1436.2170314245452,mnist_N5000_D784_p40
mnist,5000,784,40,3,3002,1,40,5000,0,0.6973015417582867,0.7298058078760895,0.908274967948718,0.9402747115384615,,1437.7752463044137,mnist_N5000_D784_p40
mnist,5000,784,40,3,3003,1,40,5000,0,0.6896178112866653,0.7232404058265348,0.9077623637820513,0.9408642227564102,,1436.9437083862806,mnist_N5000_D784_p40
mnist,5000,784,40,3,3004,1,40,5000,0,0.6966053108027882,0.7268401566146424,0.9089077884615384,0.9428152564102564,,1437.016090507424,mnist_N5000_D784_p40
mnist,5000,784,40,3,3005,1,40,5000,0,0.7015954765088622,0.7364808195542699,0.9097168429487179,0.9414484134615384,,1437.2488434631382,mnist_N5000_D784_p40
mnist,5000,784,40,3,3006,1,40,5000,0,0.6979904987982709,0.7320579214009038,0.9082402644230769,0.9387456330128205,,1437.6289024875657,mnist_N5000_D784_p40
mnist,5000,784,40,3,3007,1,40,5000,0,0.6982153017337892,0.7265251984637345,0.9097226602564102,0.9434110496794872,,1432.9094823524515,mnist_N5000_D784_p40
mnist,5000,784,40,3,3008,1,40,5000,0,0.6848908308774406,0.7244012079859588,0.9091239262820513,0.9423622596153847,,1439.1454672656264,mnist_N5000_D784_p40
mnist,5000,784,40,3,3009,1,40,5000,0,0.6900226334921432,0.721431289439154,0.9107256810897436,0.9431091266025641,,1435.4511231452454,mnist_N5000_D784_p40
